ID,Categoria,Produto,Preco,Custo,Marca,Data,Estoque,Status,Pagamento_Comum,Avaliacao,Qtd_Comprada
58,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2024-01-04,23,Esgotado,Boleto,4.9,1
59,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-02-20,22,Em Trânsito,Pix,4.8,2
60,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-04-23,26,Em Trânsito,Pix,3.7,1
61,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2024-10-27,69,Em Trânsito,Transferência Bancária,3.5,2
62,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-07-17,92,Disponível,Transferência Bancária,3.8,2
63,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-06-18,51,Disponível,Cartão de Crédito,4.4,1
64,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-07-07,93,Disponível,Cartão de Crédito,3.7,1
65,Celulares,iPhone 12,"5.302,53","4676,81",Apple,2024-12-27,54,Em Trânsito,Boleto,4.3,2
66,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2025-03-01,90,Esgotado,Cartão de Crédito,4.0,1
67,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2024-07-16,98,Disponível,Transferência Bancária,3.2,2
68,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2024-06-01,39,Disponível,Cartão de Crédito,3.5,1
69,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-06-04,28,Esgotado,Cartão de Crédito,3.7,1
70,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-04-18,45,Em Trânsito,Pix,3.8,1
71,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-04-23,100,Disponível,Transferência Bancária,3.2,2
72,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-05-31,60,Disponível,Transferência Bancária,3.6,1
73,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2024-07-15,95,Em Trânsito,Boleto,4.9,1
74,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-05-10,53,Em Trânsito,Transferência Bancária,4.8,1
75,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-12-26,83,Em Trânsito,Cartão de Crédito,4.4,1
76,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-12-30,54,Disponível,Boleto,4.6,1
77,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-08-01,11,Disponível,Transferência Bancária,3.8,1
78,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-09-01,2,Em Trânsito,Transferência Bancária,4.9,1
79,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-11-02,66,Disponível,Boleto,4.1,1
80,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-12-23,86,Em Trânsito,Pix,4.6,1
81,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-05-16,85,Disponível,Cartão de Crédito,3.5,1
82,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2025-06-11,83,Em Trânsito,Transferência Bancária,3.7,1
83,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-09-14,10,Em Trânsito,Transferência Bancária,3.3,1
84,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-03-29,49,Esgotado,Transferência Bancária,4.0,2
85,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-07-20,53,Esgotado,Pix,3.5,1
86,Celulares,Motorola Edge 20,"12.970,07","8149,33",Motorola,2024-06-13,11,Em Trânsito,Cartão de Crédito,4.3,1
87,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2024-08-16,60,Em Trânsito,Boleto,3.4,1
88,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-05-20,9,Esgotado,Pix,4.8,1
89,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-07-11,30,Em Trânsito,Transferência Bancária,3.9,1
90,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-11-09,27,Disponível,Boleto,3.2,1
91,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-07-18,56,Em Trânsito,Cartão de Crédito,3.2,2
92,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-08-30,98,Em Trânsito,Boleto,3.7,2
93,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-05-04,37,Esgotado,Boleto,4.6,2
94,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-07-17,49,Disponível,Transferência Bancária,4.3,2
95,Celulares,iPhone 12,"5.302,53","4676,81",Apple,2024-02-15,1,Esgotado,Transferência Bancária,3.4,1
96,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2024-07-19,15,Disponível,Cartão de Crédito,4.3,1
97,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-05-14,81,Esgotado,Transferência Bancária,3.5,1
98,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-02-03,52,Disponível,Boleto,4.8,1
99,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-09-01,36,Disponível,Transferência Bancária,4.6,1
100,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-11-04,29,Em Trânsito,Boleto,3.1,2
101,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-01-12,10,Disponível,Boleto,3.1,1
102,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-01-25,77,Esgotado,Cartão de Crédito,3.4,1
103,Celulares,Motorola Edge 20,"12.970,07","8149,33",Motorola,2025-07-07,18,Em Trânsito,Transferência Bancária,3.4,1
104,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2024-07-24,98,Esgotado,Cartão de Crédito,4.0,1
105,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-05-31,30,Disponível,Transferência Bancária,4.9,1
106,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-06-19,69,Esgotado,Boleto,4.3,1
107,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-05-23,47,Em Trânsito,Pix,3.0,1
108,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-07-29,56,Esgotado,Transferência Bancária,4.4,1
109,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2025-11-09,68,Esgotado,Transferência Bancária,3.6,1
110,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-12-14,3,Disponível,Transferência Bancária,3.7,2
111,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-10-28,65,Esgotado,Pix,4.6,2
112,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2024-04-11,94,Esgotado,Transferência Bancária,4.8,2
113,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-03-21,47,Disponível,Transferência Bancária,3.1,1
114,PC,HP Pavilion,"2.141,31","1662,44",HP,2024-02-03,22,Esgotado,Pix,4.2,2
115,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-11-22,12,Disponível,Cartão de Crédito,3.5,2
116,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-05-25,26,Esgotado,Cartão de Crédito,3.6,2
117,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-11-27,27,Disponível,Pix,4.1,2
118,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-03-15,31,Em Trânsito,Pix,5.0,2
119,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2024-02-16,21,Disponível,Pix,3.2,1
120,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2025-07-23,45,Esgotado,Boleto,4.3,2
121,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-07-28,0,Disponível,Pix,4.9,2
122,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-06-25,3,Disponível,Cartão de Crédito,4.7,2
123,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2024-09-17,23,Disponível,Boleto,3.5,2
124,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2024-02-01,93,Disponível,Cartão de Crédito,3.7,1
125,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-06-18,90,Esgotado,Pix,3.6,1
126,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-12-29,24,Em Trânsito,Transferência Bancária,4.8,1
127,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-10-16,26,Disponível,Boleto,4.1,1
128,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-12-08,70,Disponível,Pix,4.8,1
129,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-03-03,42,Em Trânsito,Transferência Bancária,4.4,1
130,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2025-12-04,30,Em Trânsito,Boleto,4.8,1
131,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-04-02,73,Esgotado,Cartão de Crédito,4.5,2
132,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-05-05,5,Em Trânsito,Pix,4.1,1
133,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-11-22,31,Esgotado,Cartão de Crédito,3.1,1
134,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-06-29,62,Em Trânsito,Transferência Bancária,4.6,1
135,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2025-02-25,92,Disponível,Cartão de Crédito,4.5,1
136,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-09-13,85,Disponível,Boleto,3.7,2
137,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-08-29,97,Em Trânsito,Cartão de Crédito,4.9,1
138,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-01-22,7,Disponível,Boleto,4.3,1
139,PC,HP Pavilion,"2.141,31","1662,44",HP,2024-12-09,31,Em Trânsito,Cartão de Crédito,4.0,1
140,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2024-04-10,66,Esgotado,Transferência Bancária,4.9,1
141,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2025-04-22,29,Em Trânsito,Boleto,3.2,1
142,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-03-19,17,Esgotado,Cartão de Crédito,3.1,1
143,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2025-09-30,25,Disponível,Transferência Bancária,4.7,1
144,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-09-26,92,Em Trânsito,Pix,3.2,1
145,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-05-30,30,Esgotado,Boleto,4.7,2
146,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-12-20,41,Esgotado,Cartão de Crédito,3.1,2
147,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-12-04,81,Em Trânsito,Transferência Bancária,3.5,1
148,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-03-19,91,Em Trânsito,Cartão de Crédito,4.4,2
149,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-03-08,20,Disponível,Transferência Bancária,3.4,1
150,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-03-23,1,Disponível,Cartão de Crédito,4.5,2
151,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-10-22,87,Esgotado,Transferência Bancária,3.7,1
152,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-07-19,61,Em Trânsito,Boleto,3.6,1
153,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-12-10,24,Em Trânsito,Boleto,4.6,1
154,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-08-12,66,Esgotado,Boleto,4.2,2
155,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2025-12-25,17,Disponível,Boleto,3.1,2
156,Celulares,Motorola Edge 20,"12.970,07","8149,33",Motorola,2025-11-26,64,Em Trânsito,Pix,3.5,1
157,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2025-12-08,41,Em Trânsito,Cartão de Crédito,3.7,2
158,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-09-14,11,Em Trânsito,Pix,4.7,2
159,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2024-05-04,32,Em Trânsito,Pix,4.0,1
160,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-09-05,4,Esgotado,Transferência Bancária,5.0,1
161,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-05-28,56,Esgotado,Pix,4.6,1
162,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-03-14,84,Em Trânsito,Cartão de Crédito,4.0,2
163,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-04-07,66,Em Trânsito,Transferência Bancária,3.3,2
164,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-05-14,81,Esgotado,Boleto,4.3,1
165,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-04-15,78,Esgotado,Pix,3.4,1
166,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-03-26,14,Esgotado,Boleto,3.3,1
167,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2024-10-15,58,Em Trânsito,Transferência Bancária,4.6,2
168,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-06-16,15,Em Trânsito,Transferência Bancária,4.2,1
169,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-05-05,79,Em Trânsito,Boleto,3.6,1
170,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-02-04,29,Esgotado,Transferência Bancária,4.4,1
171,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-04-15,14,Esgotado,Cartão de Crédito,5.0,1
172,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-12-22,83,Esgotado,Pix,4.9,2
173,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2024-10-06,41,Esgotado,Transferência Bancária,3.3,1
174,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-11-11,44,Esgotado,Boleto,3.0,2
175,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-04-05,67,Em Trânsito,Boleto,4.5,1
176,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2024-11-16,57,Esgotado,Cartão de Crédito,3.6,1
177,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-12-09,67,Esgotado,Transferência Bancária,3.9,2
178,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2024-12-12,76,Disponível,Pix,4.8,1
179,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-11-19,13,Em Trânsito,Boleto,3.2,1
180,PC,HP Pavilion,"2.141,31","1662,44",HP,2024-06-03,24,Disponível,Pix,3.5,2
181,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-09-22,60,Esgotado,Transferência Bancária,3.2,2
182,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2025-06-09,80,Esgotado,Cartão de Crédito,4.1,1
183,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2024-01-14,98,Esgotado,Pix,3.8,2
184,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-06-08,51,Disponível,Cartão de Crédito,4.2,1
185,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-11-29,39,Em Trânsito,Pix,3.6,2
186,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2025-10-04,18,Em Trânsito,Cartão de Crédito,3.8,1
187,Celulares,iPhone 11,"6.160,88","3945,07",Apple,2025-05-02,38,Em Trânsito,Cartão de Crédito,4.1,2
188,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-01-25,70,Disponível,Pix,3.2,2
189,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2025-09-24,94,Em Trânsito,Pix,4.9,2
190,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-11-25,18,Esgotado,Boleto,4.7,1
191,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-07-21,9,Em Trânsito,Cartão de Crédito,3.0,2
192,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2025-02-15,35,Disponível,Pix,4.2,1
193,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-08-26,86,Esgotado,Pix,4.5,1
194,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-11-13,59,Esgotado,Boleto,4.3,1
195,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2025-07-10,77,Esgotado,Transferência Bancária,4.5,2
196,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-07-19,84,Disponível,Pix,3.4,1
197,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2025-01-30,40,Esgotado,Transferência Bancária,3.3,2
198,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2025-06-22,25,Esgotado,Transferência Bancária,4.3,2
199,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-11-24,79,Em Trânsito,Boleto,3.1,1
200,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-12-20,74,Esgotado,Cartão de Crédito,3.0,2
201,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-12-16,90,Esgotado,Transferência Bancária,4.2,1
202,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-01-12,64,Disponível,Boleto,3.5,2
203,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2024-04-18,63,Em Trânsito,Cartão de Crédito,4.3,1
204,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-08-28,4,Esgotado,Pix,4.1,1
205,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-07-07,1,Disponível,Boleto,3.4,2
206,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-06-03,33,Disponível,Pix,3.0,2
207,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-04-12,81,Em Trânsito,Pix,4.7,1
208,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-10-25,60,Esgotado,Boleto,3.9,1
209,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-07-03,8,Disponível,Transferência Bancária,3.5,1
210,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2025-03-17,26,Em Trânsito,Transferência Bancária,4.8,1
211,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-02-04,21,Disponível,Boleto,3.6,1
212,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2025-08-25,20,Em Trânsito,Transferência Bancária,3.4,2
213,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-04-06,34,Disponível,Boleto,3.4,2
214,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-12-14,23,Disponível,Pix,3.3,1
215,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-06-25,99,Em Trânsito,Boleto,3.9,1
216,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-05-15,49,Disponível,Boleto,3.1,2
217,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2025-11-29,9,Disponível,Boleto,4.7,1
218,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2024-11-03,4,Em Trânsito,Pix,3.8,1
219,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-04-16,71,Em Trânsito,Transferência Bancária,3.1,1
